Price,Close,mom,signal_raw,signal_shift,ret_daily,strat_ret,wealth_market,wealth_strategy,trade_side_raw,strat_ret_net,wealth_strategy_net,signal_costaware,signal_cost_shift,strat_ret_ca,trade_side_ca,strat_ret_ca_net,wealth_strategy_ca,wealth_strategy_ca_net
Ticker,SPY,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2024-04-22,499.7200012207031,-0.04123101983077471,0,0.0,0.00920913952029423,0.0,1.0460739992031205,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-04-23,505.6499938964844,-0.027165910122133763,0,0.0,0.011866630635747333,0.0,1.058487372969323,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-04-24,505.4100036621094,-0.025828326284269454,0,0.0,-0.00047461729906428385,-0.0,1.0579849965512707,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-04-25,503.489990234375,-0.03761682305683978,0,0.0,-0.003798922486342393,-0.0,1.0539657935576592,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-04-26,508.260009765625,-0.028313604969160355,0,0.0,0.009473911346339792,0.0,1.063950972047899,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-04-29,510.05999755859375,-0.02317292823704875,0,0.0,0.0035414704253415863,0.0,1.0677189229494202,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-04-30,501.9800109863281,-0.03249559593796958,0,0.0,-0.015841247325688257,-0.0,1.050804923416661,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-05-01,500.3500061035156,-0.03669541985423519,0,0.0,-0.0032471509764099293,-0.0,1.0473928011835723,1.240099154465343,0.0,-0.0,1.216761404220865,0,0.0,-0.0,0.0,-0.0,1.2534893931301017,1.2311371212311308
2024-05-02,505.0299987792969,-0.015670392792695886,0,0.0,0.009353437830903255,0.0,1.0571895246339784,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-05-03,511.2900085449219,-0.013772320721661346,0,0.0,0.012395322615995186,0.0,1.0702937298580673,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-05-06,516.5700073242188,-0.00414474764870143,0,0.0,0.010326817835387025,0.0,1.0813464582366685,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-05-07,517.1400146484375,-0.004197782956627427,0,0.0,0.0011034464179817682,0.0,1.082539666112607,1.240099154465343,0.0,0.0,1.216761404220865,0,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-05-08,517.1900024414062,0.0059713828549285974,1,0.0,9.666200942248793e-05,0.0,1.082644306572013,1.240099154465343,0.0,0.0,1.216761404220865,1,0.0,0.0,0.0,0.0,1.2534893931301017,1.2311371212311308
2024-05-09,520.1699829101562,0.00418915619721294,1,1.0,0.005761867891264316,0.005761867891264316,1.0888823600397104,1.247244441965441,1.0,0.005261867891264316,1.2231638419850646,1,1.0,0.005761867891264316,1.0,0.005261867891264316,1.2607118334164185,1.2376152021190805
2024-05-10,520.8400268554688,0.019555682945276986,1,1.0,0.0012881249732326072,0.0012881249732326072,1.09028497660059,1.2488510486788622,0.0,0.0012881249732326072,1.2247394298762806,1,1.0,0.0012881249732326072,0.0,0.0012881249732326072,1.262335787813092,1.2392094051681823
